id,brand_name,brand_slug,brand_logo_emoji,tagline,description_short,market_intelligence_insight,industry_primary,industry_secondary,exec_investor_flag,brand_maturity,year_founded,year_franchising_began,unit_count_total,unit_count_us,unit_count_pipeline,unit_growth_rate_yoy,investment_min,investment_max,cash_required_min,net_worth_required,franchise_fee,royalty_rate,marketing_fee,investment_tier,sba_eligible,robs_eligible,financing_available,veteran_discount,item_19_available,item_19_headline,avg_unit_volume,cash_on_cash_return_range,breakeven_timeline,macro_market_cagr,business_model,semi_absentee_verified,hours_per_week_typical,employees_typical,physical_location_required,home_based,mobile_van_based,territory_type,multi_unit_available,area_developer_available,target_customer,revenue_pattern,recession_resistant,growth_sector,lifestyle_fit_tags,initial_training_days,training_location,ongoing_support,field_support,marketing_support,technology_platform,franchisee_validation_available,fbr_satisfaction_score,fbr_top_200,fbr_top_200_year,entrepreneur_rank,entrepreneur_rank_year,ifa_member,fdd_available,owner_profile_archetypes,matching_tags,navigator_score,data_source_url,data_verified_date,data_notes
35,Bishops Cuts/Color,bishops-cuts-color,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
36,Blingle!,blingle,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
37,Blue Kangaroo Packoutz,blue-kangaroo-packoutz,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
38,Blue Moon Estate Sales,blue-moon-estate-sales,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
39,Body20,body20,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
40,Boost Home Healthcare,boost-home-healthcare,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
41,British Swim School,british-swim-school,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
42,Bumble Bee Blinds,bumble-bee-blinds,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
43,Cabinet IQ,cabinet-iq,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
44,CareBuilders at Home,carebuilders-at-home,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
45,CarePatrol,carepatrol,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
46,Cascadia Pizza,cascadia-pizza,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
47,CertaPro Painters,certapro-painters,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
48,Chatime,chatime,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
49,Clothes Bin,clothes-bin,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
50,CMIT Solutions,cmit-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
51,ComForCare Home Care,comforcare-home-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
52,COOL-BINZ,cool-binz,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
53,CoolVu Glass and Surface Solutions,coolvu-glass-and-surface-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
54,Creative Colors International,creative-colors-international,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
55,CyberGlobal,cyberglobal,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
56,D1 Sports Training,d1-sports-training,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
57,Dakota London Hair Extensions,dakota-london-hair-extensions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
58,Degree Wellness,degree-wellness,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
59,Deka Lash,deka-lash,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
60,Delta Crown,delta-crown,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
61,dermani MEDSPA,dermani-medspa,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
62,DonutNV,donutnv,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
63,Dryer Vent Wizard,dryer-vent-wizard,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
64,DuraFleet,durafleet,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
65,ecomaids,ecomaids,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
66,Ellie Mental Health,ellie-mental-health,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
67,ERA Group,era-group,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
68,EverLine Coatings,everline-coatings,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
69,Exercise Coach,exercise-coach,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
70,Express Employment Professionals,express-employment-professionals,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
71,Face Foundrie,face-foundrie,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
72,Fastest Labs,fastest-labs,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
73,Fetch! Pet Care,fetch-pet-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
74,Fibrenew,fibrenew,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
75,FirstLight Home Care,firstlight-home-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
76,Fish Window Cleaning,fish-window-cleaning,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
77,Five Star Bath Solutions,five-star-bath-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
78,Five Star Painting,five-star-painting,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
79,Floor Coverings International,floor-coverings-international,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
80,Floyd's 99 Barbershop,floyds-99-barbershop,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
81,FlyLock Security Solutions,flylock-security-solutions,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
82,FocalPoint Coaching,focalpoint-coaching,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
83,Frenchies Modern Nail Care,frenchies-modern-nail-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
84,Fundraising University,fundraising-university,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
85,Furry Land Mobile Grooming,furry-land-mobile-grooming,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
86,GarageExperts,garageexperts,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
87,Gatsby Glass,gatsby-glass,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
88,Glass Doctor,glass-doctor,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
89,goGLOW,goglow,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
90,Gone for Good,gone-for-good,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
91,Gorilla Property Services,gorilla-property-services,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
92,Gotcha Covered,gotcha-covered,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
93,Grasons Estate Sales,grasons-estate-sales,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
94,Groovy Hues,groovy-hues,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
95,GYMGUYZ,gymguyz,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
96,Hallmark Homecare,hallmark-homecare,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
97,HealthSource Chiropractic,healthsource-chiropractic,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
98,Heights Wellness Retreat,heights-wellness-retreat,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
99,Hello Sugar,hello-sugar,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
100,Heroes Lawn Care,heroes-lawn-care,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
101,HOMEstretch,homestretch,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
102,House Doctors,house-doctors,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
103,HouseMaster,housemaster,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
104,Hunters-Humbug,hunters-humbug,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
105,Ideal Siding,ideal-siding,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
106,iFlex,iflex,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
107,iFOAM,ifoam,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
108,Image Studios,image-studios,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
109,Insulation Commandos,insulation-commandos,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
110,ISI Elite Training,isi-elite-training,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
111,Ivybrook Academy,ivybrook-academy,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
112,JETSET Pilates,jetset-pilates,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
113,Joshua Tree Experts,joshua-tree-experts,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
114,Jungle Driving School,jungle-driving-school,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,
